Квест, Награда
Стадики животных (большой лист/разворот), 10
Сделай мини-этюд из жизни (чашка/ окно/ ботинок) любой формат, 10
Используй 3 материала в одной работе любой формат, 15
Нарисуй что-то в 3 тонах - разворот - любой формат, 10
Стадики фигур большой лист/разворот, 10
Рисуй 30 минут без остановки, 10
Нарисуй предмет под другим углом, 15
Cтадики рук/портретов большой лист/разворот, 15
Стадики на состояние---, 20
Нарисуй 10 быстрых поз по 30 секунд (можно с QuickPoses или Line of Action), 20
Сделай 3 стадийки рук и 3 ступней, 10
Прорисуй портрет одной линией не отрывая руки, 10
Нарисуй комнату или уголок с линейной перспективой, 20
Сделай мини-комикс из 3 кадров — без текста, 15
Перерисуй старый рисунок чтобы увидеть прогресс, 10
Нарисуй объект 3 раза: контур-тени-детали, 10
Используй перьевую ручку или лайнер для одного полноценного рисунка, 15
Нарисуй портрет без ластика, 15
Нарисуй живое растение но только контуром---, 10
Сделай цветовой этюд из окна (акварель/гуашь), 10
Попробуй ограниченную палитру из 3 цветов, 10
Нарисуй состояние — «утро» «тишина» «дождь» «ожидание», 15
Сделай мини-серию из 3 этюдов по 10 минут, 20
Нарисуй абстрактное чувство только цветом и формой, 10
Используй одну палитру но в разных техниках (пастель + акварель), 15
Нарисуй одно и то же место при разном освещении (утро вечер лампа), 15
Сделай цветовую копию известной картины без срисовки — только по цветам, 10
Нарисуй тёплый и холодный вариант одной сцены, 10
Создай палитру дня — выбери 5 оттенков из реальности и сделай из них пятновую композицию---, 10
Нарисуй всё в одном тоне только значениями серого.
Найди источник света и нарисуй любой предмет с тенью, 10
Сделай серую шкалу из 10 значений вручную (пастелью или карандашом), 10
Нарисуй портрет или предмет в контражуре, 10
Сделай тонировку белой бумагой и ластиком — «высвети» свет, 10
Срисуй фото в ч/б но передай объём без линий, 10
Сделай мини-стадию по композиции света из фильма, 10
Нарисуй тональную версию своего старого цветного рисунка, 10
Попробуй тон без контура — пятнами---, 10
Нарисуй то что справа от тебя прямо сейчас, 10
Сделай серийку из 5 предметов похожих по форме (например, кружки или ключи), 15
Нарисуй одно и то же растение 3 раза подряд в разной детализации, 20
Нарисуй предмет который ты не замечаешь каждый день, 10
Найди 5 разных текстур и попробуй передать их в одном листе, 15
Нарисуй свой завтрак, 10
Сделай наброски людей на улице / из видео / фильмов, 20
Нарисуй свет и тень на стене, 10
Зарисуй кошку (или любое живое существо) в разных позах, 20
Сделай мини-репортаж — 4 зарисовки дня без слов---, 10
Нарисуй гибрид двух предметов (чайник-кот лампа-рыба и т.д.), 10
Придумай маленький мир в банке, 15
Из 3 случайных форм сделай композицию, 15
Нарисуй эмоцию как существо, 10
Придумай дом для персонажа не показывая самого персонажа, 10
Сделай силуэтный рисунок: всё в чёрном кроме фона, 10
Нарисуй предмет с характером — чашка которая злится и т.д, 10
Сделай иллюстрацию к случайной фразе из книги, 15
Придумай новый логотип или символ для себя как художника, 10
Нарисуй "предмет из сна" который не существует---, 10
Сделай коллаж с дорисовкой, 10
Нарисуй портрет в стиле другого художника, 20
Попробуй технику которую ты не любишь (даже если просто 15 минут), 20
Придумай серию из 3 мини-работ связанных идеей, 20
Нарисуй рукой которой ты не пишешь, 10
Нарисуй с музыкой подстраиваясь под ритм, 10